Algoritmo,Tamanho do número,Número primo gerado,Tempo para gerar
Miller-Rabin,4096 bits,408623882574009811991202562444320056514755800974873813849536613287900261782238554718902980627967743051168767036342549877368404368224498867291010874412388562731518204372672341562073717928012263861624852996644977576369184939611398118251778788621982265252803467828112313447172882639438152278271129790493916148241851715507596692976869231397617248678411319871114445064961904947969820720002763061135860666295249752376428073965252025170792786788785045454693155673665316787052244871494581648131402748165100704820022276886961044398368992224803635142095814679700758284292057528878711920362552038604782126977178117646655169396598810069264455212441542132220312630709728487005220861492582987480819098484522428704819134064921130079726383420154499889687193190405096608355276010804668903221645672305876748294474423151899302961198843797136060576082033598860800602164803322910256076811428516592863290576437387477641330304850279652479903335078136428458262870687783223003969883182513811379475894564146755051056757474218293660048071416433827109206736635193826704983913541269436683669794697657370359538685372573953574904310891440327855129587836135593098129333074693290321804214038753024984100883225461492071728632372063521081719874743175967164216339359187,176247 ms
Miller-Rabin,4096 bits,48270604809960256929974295258537006658487368237510559187971505720731194388227410073659049606058357821667413610820954425777422339199003498832176585888192470844000957530485043132314384505050591293370148871461128109300623701412310256031381167471393653190374665024305908331248686953525837394165931602484506663671057038021541145112133372099097365355077771726497398847750749962108972559288703240210986459912129912469612406824927246556248356351050272955802986083864685748759010229651254179265660721712381617433920693483114517208425060869573260876347722173853542997372674990739615413375979542156696459607146642228447066026106589190262696544390750619141535127073552257809727124803229045883415411813384317754888032597850721746005174298811128787077246828742616428827886819718365979432730414149206333171739208411835921074229527025826841402525758071663602420738713845697048696669259710057322857279721823476801036474863307745443380673613490630554661253193497948153732950358303437441283494738484212522079711262262764630510813857571062578445883424273497875429874930809707791973360854678308781335304531535401862595485251287024487140271191176590884663828464781751971557713746379257450553612165910118602647684757580697135251045254845603407142997665763,86218 ms
Miller-Rabin,4096 bits,66453109936307277350754355130317679741996458366614789224658609495572282698302505422568786651683836815438379329391260303495884571821647964884603493681097836692345427840532560351225701980895928835596627050132600871609185901871226530501739635513566338957393422784299711421822934698227546887507752425334631405411113100036312112803126161305106211106455951528261827428280110726533103343454721743090387899741408757490899231743606566390086767204212665604588119946747735468715533934026707082268552852919741669787045126054606789081688026986365999922455402481611898679461381293172741094619365197719420611682408636301048367959404297165517341049949140612696936434833490249029768394757718436781711726071041835174529379441432736850679809970542885267623036600415500138599719634778011845440466936927612444479099080718499011527043940046588221286356021848140161467526904144862655254221147247698656891276981467629384340970723036505055442178724229445894289176335534097604699807237560480479968497547238293745469180670661533682288046595286568128479683634286777210133407343811887282213706588133957093386265230053699537159463626755981606132916395638468138648341103110383039395173475567306282901074979596114930721223338572887114216994590886558138586718475267,139603 ms
Miller-Rabin,4096 bits,446456889873201090959031045538277380512295527876936531719616988334299908759304016531226759654449072572903330315891396834211614084953406438272903941294428978055555697895738476029075410960298386818202424062869139628233479647836608085109924003409227937626438774805872718542302878057697105392712661015159220490473653352038778257919144115818622798685407422086392903194329458600437286480172178619295767574757678775468996079636670616769653889931857092224929189193722068717716193932015820945202814551143675183241128211848625634452775896423513756190775127972052470921286331733932248351464329371261906473051390596363464434399944758119132967706570601197614378004658065566406098195442718514747591005135564700413134820930311223145249941445886652826842781651540881150626749688035649756301467216282926139420599853948395885191938870099790600723476553313208576219288541640018889682078416689965182407547660694821479192914325982466366404287009858085216117845365055883800425061934909794722414894320322425425738005760474218524798150899391874939730509194772985319906059788894849288364151999494348319014987755918313069106722243499854113498847068912523206855380133908922592137444728666978142926913268000197699141384141267959817843842910049718389746066075287,82534 ms
Miller-Rabin,4096 bits,382829822768813112258828281674753951149292455640203572897842133158388276900453302450194706239559216696065074347691512415084727657297437146895332555936344314186739623022834923139463144024666334209865157504206610880245086477466408237694686145832530518112556107164118655864171439869297270642746761052736203429782449669348982708470175311994377070071658917323734311235549884881575719433099408065077501901092768610398930154004443144199475474947684264323197452675779794445758390546146820443463226928251014950248079306899320183903758070098405056917503791339059348432147585723551142389294657354578492864561493106427961014742511306032445550494731746067321717975364809396211613794072459974809234311978563668275335700842433760277665606866138880547295040911970585087035094759647841252602142852724586107723898441360221964325834079998971715567398682099824950063414350034988869735365763108207535878838955913290555011677607733637645399583493378628620652456125758858502767372756852256388453102174897325002755345765755314869366086858415536406640366447738168599697444284174846629245581625112178183588891179156976579571511962547754817355786790119297644602680846375761541599765147697749972446858088935957421536023161163805793352174930155109093230300135883,11511 ms
Miller-Rabin,4096 bits,761606806810188630481030831508806407230529283514790521622640535570561927050417029438419776164978693023755481261887664100170791637279007516468092863090143644879344219439514421089548308882667244262776750859331389293220240463595445555619040887398489710370692488441125244997821397222427821943779996077868648287067543044524538890053554879740973606995062487141389688657941471088509604700550192083524668036277027088365246285140395751958846860922646140142882769753684397114388506909589160201527002165715700518892873981205812891891237362469764257299149572309821270751299801873223703668077293299969323796080629860258162971490143357005230807650370403625062483524568555793391929485084921043539004204555311341523928393225617274127548089351684086248806293338946675279975763037218703654728295544339774165127362252230285340375266244549399160907484514183727216906824213210437213281867514488751476908889791701445063123178291287423796779367387516627185451416046317698403441895348630918302318546396138054188377169328008884194749063499597101664707375483752349237461104846317914858891268222581732333993622632320378254386444839448798799467580933674526480751583802991841458124811784076849974132165215066145863511249642926114601864396381240746818631055450423,1317 ms
Miller-Rabin,4096 bits,533288137521129237862721443806991818646754486829904788142668455195553547669929330036164555912240136970926178459430335243186351894009468585032287578869585874992812677044396197434742141215126257429896779978248372959509659914920094368277402278849521305290725533550506660072104392688904179797312588188288464227827389680821508815795351197005875486402712817288223269404805461804350166310753000342118976814701989730695573695634174043448976042456231928358776260688399670134338608748048987314935635141132323283059091759381745085766611919373566620179778703658505943053548569724542269620696877145891483548759204772826531257764738761964885879772951683825478988546535986686534848999216612675526640154599949719964302621815985838878412538023045089003112722736014388505950115132024656267776733475670112395007772353744593959719526339337262161725673115516546020895864393940974874741156237153184828457201040519277323783478086486813057578789671915000147169226954356279959228514374136650806226137658135083719641162913088976608505750701214773495120390361311849737599204877163087473705787278991584833875644851517277672534783322000339121508220164661551930981824733338149272264747779280738138515848733094108085287358074338724832213086576219417575803570897061,185661 ms
Miller-Rabin,4096 bits,694718561163546312904933562464212376911920921335109399946714435580546790950234217994044105077175612046004317681216641987022300616092050044134545100899532695436197183197169498183451539208405155377003535257593631137691063861848667597306002193581450736311406923395455160606195106734239903106250783760682703037623949398492500975408260184733063680709027174811333793557174865568004133605882663405711376405433406709965211567398445936310284809770774147432047580947514258082978281186407813075690196580259907414881126690304686859793273010948864141005627071493931969341235689757405666652885759805740510819368610365440390084896070291968816933218612279172145467885919488164187528547005313872904385849836797193224664741172226504692517235942469576341360224493599810891983138498094414556343672915944544417667053405031502519835426459924243481818800910400037528601756768831623101193182196016275933743016753098301257612417122978054046490196451086530454065434881968179130419850369526416613049886570245806923261972481613784705626466264836865543398658432504202070796069530825905193059256194414644740587243497410383072433768633035533983206111691675959908141197999809250655177997810051947205506602804144397001831023388840250104764948347345492610763476068859,61911 ms
Miller-Rabin,4096 bits,45400072126647064631724384626364549357687680267848874767957221880261457583922940008564584792496050845885758422445335996259015007455275982688137249965522315536309548325943571173458882083862370324929100377351553478810875255896330741914178416666796719209808090214388243094751007099503989608726380507693120529990751996585912467463965940283513866300577999939839618474324884688110093247221570721039325959433321678501428059292050294577339729006452083401337707546378389775532419462248253885999046475512145791503402557820953290669724696841855206741313365675718881727104027767870227761768389192324309038808431592492414696898593808748611210495653273658158746011467755655436867836205332903276264492725380479286367956589472568592116497939784771543917113382556001157738189724246124515773400758748356442193063789368441260745113307952283933901565225445789115163032733834107724403287651462071692545270174047541882646467259219992661212203468078356800312538891873178974621840752784183822990071891688858745632934609779100756847626157501394282242590427587731513369487843206568565850156720299899521275469485150385307252098717877989564266646785541338296559659306258028750667944970517882873066439488523620986120243345127292249422506790595363796331328304749,20250 ms
Solovay-Strassem,4096 bits,408623882574009811991202562444320056514755800974873813849536613287900261782238554718902980627967743051168767036342549877368404368224498867291010874412388562731518204372672341562073717928012263861624852996644977576369184939611398118251778788621982265252803467828112313447172882639438152278271129790493916148241851715507596692976869231397617248678411319871114445064961904947969820720002763061135860666295249752376428073965252025170792786788785045454693155673665316787052244871494581648131402748165100704820022276886961044398368992224803635142095814679700758284292057528878711920362552038604782126977178117646655169396598810069264455212441542132220312630709728487005220861492582987480819098484522428704819134064921130079726383420154499889687193190405096608355276010804668903221645672305876748294474423151899302961198843797136060576082033598860800602164803322910256076811428516592863290576437387477641330304850279652479903335078136428458262870687783223003969883182513811379475894564146755051056757474218293660048071416433827109206736635193826704983913541269436683669794697657370359538685372573953574904310891440327855129587836135593098129333074693290321804214038753024984100883225461492071728632372063521081719874743175967164216339359187,31580 ms
Solovay-Strassem,4096 bits,286550677695794144789251429913254031223123924819042583495629885026323987341004513406231284708467720654322979903241362204895825410802275856283860725427390615698769436691898599566194357497476770475423852460215810602738801010807469627785892431688469782725285300120879929259658016364038784510096362052267615452090452266673952882701365970475137713503531516073619674996213493756525838239597160972079527313336193118636851451393501241066756180144130899864498913123324058643411003990235351211184290970410716084074195461331786249582984933711806057031925580713040040299405293872969402497672426170929125067344611491135019466249603769329768781593699594527831265760084941820823539702921509110363990509986910361176902601298078959824195750366681710188418059504645922581663865971218354822268648642572452367659235343326844324546317449632305595817412381743224339342195635761858809797307102046076806070019749045455449996355304620907113698437064952807568316702598288036586268771390232478898099400791430342917257620208504346146955776653661685301486822813112569879566398440250837581679140468672773265888059043461572509135122719055000164583878840012190555812805071709876718443532655968062347983184378214609035805898899001671612778511134626253064785706950801,83014 ms
Solovay-Strassem,4096 bits,48270604809960256929974295258537006658487368237510559187971505720731194388227410073659049606058357821667413610820954425777422339199003498832176585888192470844000957530485043132314384505050591293370148871461128109300623701412310256031381167471393653190374665024305908331248686953525837394165931602484506663671057038021541145112133372099097365355077771726497398847750749962108972559288703240210986459912129912469612406824927246556248356351050272955802986083864685748759010229651254179265660721712381617433920693483114517208425060869573260876347722173853542997372674990739615413375979542156696459607146642228447066026106589190262696544390750619141535127073552257809727124803229045883415411813384317754888032597850721746005174298811128787077246828742616428827886819718365979432730414149206333171739208411835921074229527025826841402525758071663602420738713845697048696669259710057322857279721823476801036474863307745443380673613490630554661253193497948153732950358303437441283494738484212522079711262262764630510813857571062578445883424273497875429874930809707791973360854678308781335304531535401862595485251287024487140271191176590884663828464781751971557713746379257450553612165910118602647684757580697135251045254845603407142997665763,3882 ms
Solovay-Strassem,4096 bits,277382543546720726235687263395898510366761958945142187509876370223908247253309261334381877471061539279029065649017914670854665216548695078202101481338292587157950217196918246112576647976962257453648618234898015234828323736739008941863854222301061612366355618114116138578581200386515827653356988433138996253656438860572666382490180064528023663483719016555084766713403402276095432428766831981657977723820653155582675014160999691399295810223939705086489371726400037512200861252660144200654610336244624425165997232925367785618743465371749721177400864986662348992205578274214866472955607073368492485662634189366068868994671016077610617214218410893117358734785982665851847653042178707657390326861276550160846572264322668970721356943016720898167460018983719190089890605263661337839269403496643003783961031987941823117533821334852460210820397585350290547038834335081650383937538780914245345702720261317941806733102480772629387109947858141864920626778672322216798048523503433617302872054564117171423707289985042110694929335976419261252681913279723261619272128586734440137806482075898422017423164880069520946282442627142269398789039243232144329415450234237470622207772789477084255962318825638017538771436409555398637116679460353560008934674081,21285 ms
Solovay-Strassem,4096 bits,66453109936307277350754355130317679741996458366614789224658609495572282698302505422568786651683836815438379329391260303495884571821647964884603493681097836692345427840532560351225701980895928835596627050132600871609185901871226530501739635513566338957393422784299711421822934698227546887507752425334631405411113100036312112803126161305106211106455951528261827428280110726533103343454721743090387899741408757490899231743606566390086767204212665604588119946747735468715533934026707082268552852919741669787045126054606789081688026986365999922455402481611898679461381293172741094619365197719420611682408636301048367959404297165517341049949140612696936434833490249029768394757718436781711726071041835174529379441432736850679809970542885267623036600415500138599719634778011845440466936927612444479099080718499011527043940046588221286356021848140161467526904144862655254221147247698656891276981467629384340970723036505055442178724229445894289176335534097604699807237560480479968497547238293745469180670661533682288046595286568128479683634286777210133407343811887282213706588133957093386265230053699537159463626755981606132916395638468138648341103110383039395173475567306282901074979596114930721223338572887114216994590886558138586718475267,118983 ms
Solovay-Strassem,4096 bits,889505986638205951747490743409895825139635255235710080001092686040154539701982085225429855080671273595183953348428063896873831068697281658482978041416965012790524118975684964112281803090732688000375082042060200523069757963385831291655048997938390974173758263732353364277506546071132608783055774828634212189951791585663420631820972622317033588707527669961968720575095708063988870759424494135401679732745604857685115017118252490049009830744516559946070954772027884467420574188636639975327039806658179105068849137479766058880815607058452143038790115955738798282231089193503095669044228178887106395703771191324294912950689192932641861222255456320288458017521607038155130928024872609093131840321811124890839025691777406472456126493384452668958148628765419325373763111112792349478065428718820575095054228590826421087500907862939552538907470019923933925834034528976410332098950786309959041562893239297697759724642389683835281022134087448708010217615236383377817484632543470210095605359796233295232960905520556718511942603202176595541121584332791770042754537539518122033793549646254300323381258138697026732351897327668854868961741815246619793352020316118518620744391800570792197652871885420602940639911897906606476208406554463610333650822647,57985 ms
Solovay-Strassem,4096 bits,275242221449161786538932566480401975722367340681304875331787351088093453894558863125094715986497741506177203055831758002066193162938126846441943380380476018086583279194190659146846471396641551734928307885151993609440997761410883739088665441927571193238195841171072372325845431170573659313853638701384940708497805809310422103967881897819985825756563918405813846890782844597780672058693891909263395963780939330601609511671172245928478522364297354763303911344847813179824491277290106407656439768635975435848547938547941222961475104590049894700647959255610474663301993485149830953908184945923394948500666115811039232947797138879785758484046863480155089351987136541139526747660157846397783469762808957745325083093327060711487902347453082237358406358316964300984514649952041720255275086663492383861613971077460183224970674005899687438358074550255027232340624405899344631500834202460255617771426991235042434082816970926663161119695219593531017393402090891061881998371020542174891402274930074634252823569350063135539614797098190600529863306968648495767072384853218524815696171796233260512861212072495482885859383277056031711364264386674076179928337618635301063767334466601785767237235488918406039453540962403475660191970600994147515077418609,36459 ms
Solovay-Strassem,4096 bits,1000772815117184681616702685918856747307429027804145149954129047894325424039477326469299671785460739146403653080632190607687189896569222786703728206744694268178601235019533802089650323502797071391659966748219425899187693778842799141676175148695439982908817196098440379962076869446627060022954788064621848856214942251643422309845629451662793523896219938657490909393740938566119706430385082788402348345713255088781432459716565842855740929187515811052208140181248159470661966671075881110964845448292849655221680942900978908721391285140196745019420226418343262129319245485243300500674380775549991454494716272727282823545708211095581457046616471327873327829114378658913128745273651869550864783871661720085230330678627693419158827079576712296607916779282974806810471102022844028412535884636712321839258463770714161284270918676072700024129600448102305777255660439526679589271750822537485782894128408299917786847347038677006492930434132102783650109987515920247746206240541066539038117034768423271899975150618148944165238319576290921720436540356371362334814988789655483689435023843954482439074461727434677963034228110696506688439583016573299621718405743204484803191044518078730972832654732457253380791320397301097758314756459616908418592479429,114369 ms
Solovay-Strassem,4096 bits,23480242457395417430149727896486120729172492506469614003313589441528641910680297269563570183218397207812106693398863139167724144928893702696519237141547318308381187017116875430632693897206908872201453807419910485913655077218636731171966299673301608486823763513249930606577943720603201257021007756070371523635677427008934755440604416256108862536674133793013044864188427953365974586213245098666360706302258593769274518329164914563514124515493713523827895035174641095463757532363060060415432355924969997433238637687809761980913947365409788225857730560215311511925661445288622887231388736991983429538568858123156918698142576970450829406102269236801437221215856640767328094723364867387125778674604216642977702424476258099532322268179611822982467859331453400036959386380295136715649497775837008500969483425843538788994507999123461099390787644571644731583093227314800793778284682597068514759543238512862364821573465123148368657894706469385470252423262982730356044854886867922115952509509497648758913818835793434514475336129117915563339135179912300879609503658962136290929223482491758587470186767302364933179773161118531290127647675844774194299288918507969689825341565525036461918068387189373160798700688440685350205488616094366094282772059,95879 ms
Solovay-Strassem,4096 bits,599629324157320372597468206771607639934539780400183855148386019565137140325315569615455620233276324850623487476945172798021139709950884908266153949815963934260486648998428129631049363792758238564294899122633076676950320594694735263715151473098020682585333192870814686693262704405546541948596967689337932015782284336542636439791554451638479344570560627441730656227151613167856539259844031348981179302998152206680758868009215375315749959072531042138895558050075251299035431630599866925000984700541182751026618032785577482977438674587140333876845650504076637149055891642727142437967961209911248992460094887124863545695892513072684354214323136679900714911546446351103754238767273478606769343557919144078778919391465883726341533421106545286150824267951643309387540848626338711413002598492448399085438732681241736169260851042916599279753511750612880687825605801923173431984675274266573641640362170155565462385679363271876097168071677848438642366457067820636290185989050449465513772742159576309844429408141961134599632733729710683756776468269166827642027669027301110387287008456216974476954556407231244202972734245779760431807590271902746697539609733422362945928863011396631023663249510281940364346417069177323069451403585094136313780399103,34975 ms
