Algoritmo,Tamanho do número,Número primo gerado,Tempo para gerar
Miller-Rabin,224 bits,8004614631559642231145441551777420382558684515502658802807640022191,19 ms
Miller-Rabin,224 bits,11134673793959550685307739338832111983152934110750889479330627493839,52 ms
Miller-Rabin,224 bits,3330443063339986169158707728619197907599101624088537172881774972293,17 ms
Miller-Rabin,224 bits,10690935217326307445709746503441140388668989725848473691685316784047,46 ms
Miller-Rabin,224 bits,10448682477571018802919739051319113322519268931205991167854759295963,296 ms
Miller-Rabin,224 bits,3034474456201963447084075730222639744803321702544868126585994954261,225 ms
Miller-Rabin,224 bits,12996147139531763900159654238262578331602233370804134031404526895151,21 ms
Solovay-Strassem,224 bits,4189261068039921744838030058000469482562007537892650540279477587839,141 ms
Solovay-Strassem,224 bits,7752906442997184721752132807356978698027342356571631738377864019237,12 ms
Solovay-Strassem,224 bits,8446680827456523051306233622172322884161266215534188704477656122821,29 ms
Solovay-Strassem,224 bits,8122611853997652105471143123587870978351080053811479482142720745763,93 ms
Solovay-Strassem,224 bits,12590877250805111852683445263883107750167846147094009971994376235379,313 ms
Solovay-Strassem,224 bits,3011147049266829003901362236081020361183378441914223797004759525189,178 ms
Solovay-Strassem,224 bits,21713217247039525224279940474510588369236500247265557438744456199267,229 ms
Solovay-Strassem,224 bits,19881071555476532867179061797708342747365635306036354294016639040519,123 ms
Solovay-Strassem,224 bits,13543479171389979516091846170157553878655038172186496201480739131859,126 ms
Solovay-Strassem,224 bits,8207942305464022341167556914202592455126538485516002511344589143807,240 ms
Miller-Rabin,256 bits,5091899355457425957296287592179038414619567955831319481415599593984029793271,5 ms
Miller-Rabin,256 bits,8590552545676006596349700539871271165460342326952095629867482650031558024573,138 ms
Miller-Rabin,256 bits,114733341163473743419625839297575725414275330861990615738052073180399327821551,90 ms
Miller-Rabin,256 bits,19682307067615450859539190083248455393284523919318853610425301545537206611251,519 ms
Miller-Rabin,256 bits,13602741527816494644629998793148045569227147510290049652193274469463650519893,768 ms
Miller-Rabin,256 bits,17629807300898255490497938356866456951862759376706685673878968197114481668183,165 ms
Miller-Rabin,256 bits,76391058190202140353938376898040534166737066033905036749932817032925700028549,230 ms
Miller-Rabin,256 bits,74769961126075809887192270915078775424520385133302807738036812824792063629253,401 ms
Miller-Rabin,256 bits,4867405074179730040213214287658772857415121275109464176557282399002718383029,171 ms
Miller-Rabin,256 bits,14280273439662288150549974266187154600962408215012769968884838814484881136823,251 ms
Solovay-Strassem,256 bits,35811758070171583446783424568990342886528760504814519913955985191203315958633,153 ms
Solovay-Strassem,256 bits,22909714876423197275911299820516201077417828401466010217316458336391485986531,237 ms
Solovay-Strassem,256 bits,13901638068851462742769013286960424193770421475391133482840522715803774007689,97 ms
Solovay-Strassem,256 bits,26540063216947593946442852034325668981781902572261904345033920691430845924367,325 ms
Solovay-Strassem,256 bits,6214123025363200049900638362460206524677265477169728732933378141399319648803,190 ms
Solovay-Strassem,256 bits,77354874568366934588516967910258288669241910625923617725006169950937426211731,31 ms
Solovay-Strassem,256 bits,28517241908888156292160324735187871203859283591319321226695272873289160733531,11 ms
Solovay-Strassem,256 bits,82500539037884442163300706407771976348075655616879633784009607580334647757963,33 ms
Solovay-Strassem,256 bits,79893509398271249914320818311528770542650833032453285143642540446820581362653,48 ms
Solovay-Strassem,256 bits,44362002428268451653541343131157088197566576076613256707196170365133748670957,45 ms
Miller-Rabin,512 bits,6135619170448338960512741417893171668390350616300782157457891636122336000172909019845956205172725164663650376896679180034450939584585958465901444291215571,61 ms
Miller-Rabin,512 bits,5511525525506308219103737660848239434680938777765070516114976623996005477929170315157722063921713756091514014373527073733731509009008750953635391914366763,787 ms
Miller-Rabin,512 bits,5891590251006828623704400455811815375029955849207551392591168371613598255010696924191924562749822074922454711653738655083564734445294686387249245326845767,318 ms
Miller-Rabin,512 bits,4141747782814064192966192146197602873273970349465142674481177855782142225418117043507635796819874925779317117368546417231114010560537533049110318077234723,895 ms
Miller-Rabin,512 bits,2528454255423634436246393344900581027649375504608711482999997835246154826812998648679320721374784859264137886149535374324549827232185016856321772392282949,47 ms
Miller-Rabin,512 bits,2584735592317646297989813893983568245948323049686574028494600668330629893455547243572811533075240234066547713995670081481387896296392795023603662818771869,62 ms
Miller-Rabin,512 bits,5708435070686648502557415575381508613386850682049809247490458398070545858350909376155379372569340658784944515247932052476418099118502652863881243119890309,97 ms
Miller-Rabin,512 bits,10954263629733715719600995282417463057620792928399868703113592594719697960171860088598779616066749245459973725831372024017186552039680649716114701513958789,2 ms
Miller-Rabin,512 bits,4048524701357220516797817433082000824035481151213036486548566325268487703843045030944938227175374016196784115447063648162539846262251634892123087206700191,113 ms
Miller-Rabin,512 bits,11236227581339262944671433376929029247982676195142860273461453799820491546375980908834378988327132013821733130873144974920415273035493600501474694506214941,106 ms
Solovay-Strassem,512 bits,418518421654044099858176349340465125369203467478382124784255100133209715179178197841222995896307858726746359822387776448641279275188813122029659701983333,44 ms
Solovay-Strassem,512 bits,5040537067103868169497156705859529989558815476500030203117195075187679543774851970204317708896810114413979384990356805120488166282162826480181216231221727,153 ms
Solovay-Strassem,512 bits,2514724455005991032362153779501702801944661242558332899289313292676183056408572993729425179318449382716046066715025325335560827179976574925502587529935467,138 ms
Solovay-Strassem,512 bits,2218753001463342330675204449346804143525297421610709199638617346029389011263205196923605081508123520524690906067163310304589894235461046631283264642165543,31 ms
Solovay-Strassem,512 bits,2396204102506104659030419041405917599153766426866090152124428229453217959127213261673166402698538916073085878693527215934023477718390339945067111032660033,332 ms
Solovay-Strassem,512 bits,1149206653990672075924733671069912612845713662427680974458573391422678986191406908062307378606232129127769679279829294782336297896430916462830837780067053,11 ms
Solovay-Strassem,512 bits,8323404768201937268449281707238313647861046208118683058127592540834922586883519839679715608689189017715345081116873859276534231975106461860890089947400283,3 ms
Solovay-Strassem,512 bits,2847271924279878337244566419627033649759506676432144169213796885276404606695427370728051595263215953107796970201606092060042326932016971206812143405726541,71 ms
Solovay-Strassem,512 bits,12291522171591123334704428987160988804511071050718688803540860311494501890394358487749769635252722520005897437031056497745331814839790320695537541741089719,15 ms
